DOR Code,Municipality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,Abington,221,201,194,195,173,190,184,221,213,187
2,Acton,180,179,179,165,162,139,172,180,187,184
3,Acushnet,85,90,82,67,92,73,69,85,71,85
4,Adams,68,63,87,69,76,68,69,68,84,65
5,Agawam,295,197,274,279,249,248,277,295,257,246
6,Alford,2,0,1,1,6,3,2,2,0,1
7,Amesbury,187,210,205,158,156,160,197,187,170,159
8,Amherst,184,156,156,150,159,149,144,184,168,130
9,Andover,262,273,230,231,228,249,268,262,257,245
10,Arlington,567,621,617,568,598,612,572,567,582,502
11,Ashburnham,59,46,56,53,44,39,48,59,45,43
12,Ashby,25,27,19,29,23,21,21,25,25,29
13,Ashfield,9,10,9,7,19,10,9,9,12,14
14,Ashland,265,225,243,234,214,221,208,265,205,205
15,Athol,121,134,132,121,125,108,115,121,124,125
16,Attleboro,533,567,524,495,549,455,482,533,497,515
17,Auburn,147,150,160,157,158,144,161,147,143,150
18,Avon,57,49,43,47,42,44,51,57,56,56
19,Ayer,102,110,109,101,97,109,100,102,120,101
20,Barnstable,447,417,403,375,427,396,409,447,424,407
21,Barre,58,58,45,33,44,45,58,58,58,53
22,Becket,23,14,23,11,16,23,7,23,15,11
23,Bedford,136,149,121,142,135,131,148,136,117,113
24,Belchertown,154,123,147,116,136,128,128,154,113,115
25,Bellingham,229,202,187,194,175,177,166,229,159,171
26,Belmont,309,282,294,271,281,279,294,309,243,252
27,Berkley,64,60,65,55,58,62,59,64,49,53
28,Berlin,17,19,28,25,24,25,22,17,28,23
29,Bernardston,6,11,11,19,16,15,21,6,13,12
30,Beverly,448,476,397,396,412,384,423,448,394,410
31,Billerica,445,457,463,447,414,416,421,445,474,421
32,Blackstone,104,96,102,84,84,84,100,104,75,82
33,Blandford,9,7,6,12,7,10,8,9,6,11
34,Bolton,36,42,40,42,37,38,53,36,45,48
35,Boston,"8,019","7,976","7,815","8,062","8,032","7,834","7,740","8,019","7,703","7,730"
36,Bourne,184,192,169,173,141,145,155,184,142,153
37,Boxborough,38,39,38,33,33,41,26,38,31,41
38,Boxford,46,42,42,44,29,41,64,46,60,60
39,Boylston,28,38,31,19,31,27,33,28,40,44
40,Braintree,385,424,373,406,401,410,379,385,389,374
41,Brewster,66,66,65,58,55,47,50,66,53,58
42,Bridgewater,229,171,218,204,219,174,240,229,224,230
43,Brimfield,31,26,28,26,23,26,35,31,26,22
44,Brockton,"1,552","1,474","1,416","1,444","1,354","1,492","1,468","1,552","1,446","1,473"
45,Brookfield,39,33,39,35,32,26,33,39,21,29
46,Brookline,666,676,693,688,686,718,653,666,605,594
47,Buckland,17,12,21,23,19,14,14,17,11,11
48,Burlington,286,319,311,306,283,306,280,286,272,288
49,Cambridge,"1,199","1,266","1,223","1,304","1,269","1,284","1,262","1,199","1,145","1,077"
50,Canton,237,234,206,226,221,221,256,237,267,228
51,Carlisle,33,22,33,26,26,29,20,33,32,30
52,Carver,119,120,97,113,109,108,95,119,115,99
53,Charlemont,10,12,9,10,6,14,9,10,12,8
54,Charlton,131,135,116,113,102,120,129,131,121,109
55,Chatham,42,29,30,19,20,30,28,42,25,26
56,Chelmsford,329,328,320,318,370,342,316,329,313,316
57,Chelsea,745,702,656,680,649,655,707,745,687,638
58,Cheshire,29,23,27,22,30,29,24,29,34,19
59,Chester,9,14,10,10,8,9,13,9,7,9
60,Chesterfield,8,8,3,9,16,13,6,8,8,7
61,Chicopee,636,643,622,636,628,627,600,636,553,578
62,Chilmark,7,6,3,5,9,9,7,7,6,6
63,Clarksburg,19,9,10,10,4,13,5,19,12,14
64,Clinton,203,167,194,177,180,174,182,203,181,150
65,Cohasset,69,57,60,66,50,63,61,69,73,78
66,Colrain,15,11,20,14,12,13,17,15,19,14
67,Concord,103,126,109,101,106,128,100,103,118,111
68,Conway,13,8,14,11,11,8,13,13,9,10
69,Cummington,2,10,6,10,7,4,8,2,2,2
70,Dalton,57,40,50,52,53,51,49,57,40,47
71,Danvers,245,251,223,241,292,261,247,245,252,269
72,Dartmouth,221,212,188,203,191,184,228,221,214,210
73,Dedham,280,266,263,259,256,270,297,280,279,271
74,Deerfield,39,47,39,30,42,32,28,39,34,37
75,Dennis,123,136,116,98,76,82,99,123,94,91
76,Dighton,55,58,55,61,51,63,66,55,63,86
77,Douglas,85,101,103,81,85,76,71,85,87,69
78,Dover,29,31,39,30,34,27,38,29,33,33
79,Dracut,370,325,322,362,342,340,326,370,346,341
80,Dudley,97,94,100,94,74,100,93,97,92,78
81,Dunstable,13,26,10,14,11,13,23,13,14,26
82,Duxbury,119,91,93,93,89,84,93,119,117,123
83,East Bridgewater,139,136,131,111,148,119,139,139,129,118
84,East Brookfield,27,23,23,17,35,13,22,27,24,24
85,East Longmeadow,104,135,122,143,122,105,139,104,139,119
86,Eastham,20,33,30,27,32,23,25,20,35,22
87,Easthampton,168,156,166,142,129,136,165,168,131,125
88,Easton,186,212,211,205,178,192,184,186,174,191
89,Edgartown,48,37,41,40,44,42,50,48,36,49
90,Egremont,10,9,5,7,1,3,7,10,8,9
91,Erving,12,17,16,11,13,10,23,12,20,17
92,Essex,36,32,31,32,31,26,34,36,28,40
93,Everett,655,626,629,661,620,636,668,655,680,655
94,Fairhaven,139,137,129,113,132,123,108,139,102,118
95,Fall River,"1,251","1,202","1,155","1,163","1,093","1,067","1,077","1,251","1,113","1,113"
96,Falmouth,281,257,255,242,232,222,225,281,241,205
97,Fitchburg,615,586,545,555,549,476,504,615,553,500
98,Florida,11,4,8,6,0,5,2,11,4,2
99,Foxborough,159,139,164,171,165,158,171,159,196,178
100,Framingham,"1,059",976,963,902,907,875,896,"1,059",822,940
101,Franklin,344,302,284,327,296,250,271,344,249,275
102,Freetown,85,75,86,63,62,54,78,85,80,67
103,Gardner,267,240,232,188,250,216,203,267,230,216
104,Aquinnah,3,3,4,6,6,4,2,3,2,1
105,Georgetown,91,87,70,65,68,87,73,91,74,82
106,Gill,14,9,11,5,12,11,10,14,17,10
107,Gloucester,282,266,267,265,246,253,254,282,261,241
108,Goshen,10,9,11,10,10,9,9,10,11,11
109,Gosnold,0,0,0,0,0,0,1,0,0,0
110,Grafton,240,217,222,206,212,199,202,240,187,195
111,Granby,41,29,42,40,40,58,44,41,35,42
112,Granville,10,11,11,10,12,9,11,10,9,9
113,Great Barrington,50,46,49,45,53,42,52,50,37,42
114,Greenfield,177,200,173,199,189,187,199,177,185,163
115,Groton,90,87,73,80,94,85,68,90,80,89
116,Groveland,59,55,48,53,47,62,47,59,61,62
117,Hadley,38,29,27,26,38,34,31,38,29,34
118,Halifax,77,64,78,90,64,69,59,77,53,83
119,Hamilton,93,91,89,80,96,87,86,93,88,101
120,Hampden,28,35,40,25,25,29,32,28,34,21
121,Hancock,5,5,3,2,2,4,4,5,4,6
122,Hanover,118,133,121,125,94,126,127,118,125,124
123,Hanson,101,102,105,87,85,100,80,101,87,107
124,Hardwick,34,22,25,13,25,22,22,34,19,15
125,Harvard,29,28,21,30,23,19,33,29,38,32
126,Harwich,85,90,94,97,79,82,71,85,88,88
127,Hatfield,24,15,23,22,11,21,21,24,17,20
128,Haverhill,882,895,826,802,813,800,766,882,726,758
129,Hawley,1,3,1,2,3,2,2,1,1,3
130,Heath,8,7,7,10,5,4,4,8,3,6
131,Hingham,230,238,198,233,204,223,203,230,219,217
132,Hinsdale,17,9,16,13,15,17,15,17,17,15
133,Holbrook,132,110,138,135,140,136,130,132,123,139
134,Holden,188,167,162,154,153,165,149,188,181,201
135,Holland,13,20,23,32,25,19,18,13,19,16
136,Holliston,132,116,135,116,112,112,119,132,123,133
137,Holyoke,701,653,606,607,588,607,596,701,519,493
138,Hopedale,59,52,61,56,50,53,55,59,66,65
139,Hopkinton,138,133,119,124,127,118,133,138,159,176
