GEO_ID,Town,County,Total Pop,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race
2502300170,Abington, Plymouth,17062,14152,683,39,428,9,581
2501700380,Acton, Middlesex,24021,15320,595,27,6032,6,424
2500500520,Acushnet, Bristol,10559,9768,58,24,63,2,143
2500300555,Adams, Berkshire,8166,7432,110,12,41,0,60
2501300840,Agawam, Hampden,28692,25048,611,55,738,8,565
2500300975,Alford, Berkshire,486,450,2,1,4,0,3
2500901260,Amesbury, Essex,17366,15715,233,49,175,7,229
2501501370,Amherst, Hampshire,39263,24770,2382,141,6995,14,1325
2500901465,Andover, Essex,36569,27167,769,32,5529,6,858
2500701585,Aquinnah, Dukes,439,280,8,102,4,0,2
2501701605,Arlington, Middlesex,46308,35293,1087,59,5659,8,676
2502701885,Ashburnham, Worcester,6315,5786,50,14,55,0,57
2501701955,Ashby, Middlesex,3193,2953,18,9,16,1,27
2501102095,Ashfield, Franklin,1695,1576,8,3,5,0,22
2501702130,Ashland, Middlesex,18832,13125,555,43,2464,2,1024
2502702480,Athol, Worcester,11945,10710,135,33,92,4,212
2500502690,Attleboro, Bristol,46461,35842,2704,160,2196,14,2100
2502702760,Auburn, Worcester,16889,14642,315,19,555,0,320
2502102935,Avon, Norfolk,4777,3092,910,7,196,0,226
2501703005,Ayer, Middlesex,8479,6567,449,19,429,4,280
2500103690,Barnstable, Barnstable,48916,37777,2235,260,860,30,2319
2502703740,Barre, Worcester,5530,5034,61,11,43,4,97
2500304545,Becket, Berkshire,1931,1789,10,1,9,0,15
2501704615,Bedford, Middlesex,14383,10696,375,25,2242,0,165
2501504825,Belchertown, Hampshire,15350,13486,295,13,375,4,213
2502104930,Bellingham, Norfolk,16945,14671,315,39,509,6,367
2501705070,Belmont, Middlesex,27295,19236,544,28,5049,6,386
2500505280,Berkley, Bristol,6764,6202,65,5,57,1,73
2502705490,Berlin, Worcester,3158,2822,18,4,38,3,47
2501105560,Bernardston, Franklin,2102,1979,8,1,11,0,9
2500905595,Beverly, Essex,42670,36705,990,60,951,12,1192
2501705805,Billerica, Middlesex,42119,33764,1676,74,3608,5,915
2502706015,Blackstone, Worcester,9208,8349,94,11,101,1,146
2501306085,Blandford, Hampden,1215,1156,0,2,3,0,6
2502706365,Bolton, Worcester,5665,4939,16,3,269,1,58
2502507000,Boston, Suffolk,675647,318101,138870,2824,76021,356,68274
2500107175,Bourne, Barnstable,20452,18399,312,107,309,9,285
2501707350,Boxborough, Middlesex,5506,3753,120,5,1189,1,83
2500907420,Boxford, Essex,8203,7262,49,7,228,1,132
2502707525,Boylston, Worcester,4849,4235,30,8,250,0,72
2502107740,Braintree, Norfolk,39143,27698,1330,69,6750,9,923
2500107980,Brewster, Barnstable,10318,9435,163,20,108,7,99
2502308130,Bridgewater, Plymouth,28633,23636,2054,48,541,7,528
2501308470,Brimfield, Hampden,3694,3338,28,10,32,0,41
2502309000,Brockton, Plymouth,105643,31074,36951,492,2278,29,13003
2502709105,Brookfield, Worcester,3439,3168,22,7,18,0,22
2502109175,Brookline, Norfolk,63191,42233,2069,108,12124,15,1296
2501109595,Buckland, Franklin,1816,1684,11,2,8,0,13
2501709840,Burlington, Middlesex,26377,18689,1240,36,4706,4,384
2501711000,Cambridge, Middlesex,118403,67887,12520,290,22743,54,4036
2502111315,Canton, Norfolk,24370,17956,2262,27,2142,11,527
2501711525,Carlisle, Middlesex,5237,4154,37,3,595,2,54
2502311665,Carver, Plymouth,11645,10654,112,27,72,2,148
2501112505,Charlemont, Franklin,1185,1076,2,3,9,0,11
2502712715,Charlton, Worcester,13315,12205,133,20,146,3,146
2500112995,Chatham, Barnstable,6594,6093,154,10,51,0,111
2501713135,Chelmsford, Middlesex,36392,28768,896,32,4071,3,614
2502513205,Chelsea, Suffolk,40787,11183,2996,576,1339,16,18189
2500313345,Cheshire, Berkshire,3258,3011,25,2,31,5,21
2501313485,Chester, Hampden,1228,1117,3,9,3,0,19
2501513590,Chesterfield, Hampshire,1186,1103,0,1,1,0,9
2501313660,Chicopee, Hampden,55560,39947,2664,200,941,43,5713
2500713800,Chilmark, Dukes,1212,1111,13,3,8,0,19
2500314010,Clarksburg, Berkshire,1657,1576,6,0,11,0,0
2502714395,Clinton, Worcester,15428,11359,431,138,248,2,1320
2502114640,Cohasset, Norfolk,8381,7842,29,14,99,0,38
2501114885,Colrain, Franklin,1606,1492,8,1,9,0,10
2501715060,Concord, Middlesex,18491,15337,482,3,1171,4,194
2501115200,Conway, Franklin,1761,1676,2,2,17,0,9
2501516040,Cummington, Hampshire,829,769,4,0,3,0,4
2500316180,Dalton, Berkshire,6330,5852,61,7,61,0,58
2500916250,Danvers, Essex,28087,24809,561,38,655,6,599
2500516425,Dartmouth, Bristol,33783,28909,1059,47,853,1,893
2502116495,Dedham, Norfolk,25364,20132,1583,59,962,6,986
2501116670,Deerfield, Franklin,5090,4421,94,12,81,3,163
2500116775,Dennis, Barnstable,14674,12876,611,39,126,6,255
2500516950,Dighton, Bristol,8101,7305,124,11,60,0,131
2502717300,Douglas, Worcester,8983,8252,59,9,84,3,112
2502117405,Dover, Norfolk,5923,4823,48,4,600,0,48
2501717475,Dracut, Middlesex,32617,25497,1901,39,2003,4,1195
2502717685,Dudley, Worcester,11921,10422,274,26,149,3,347
2501717825,Dunstable, Middlesex,3358,2930,30,3,163,0,38
