TAX (cents/pack),RANK,REGION,STATE
200,17,4,AK
67.5,41,2,AL
115,35,2,AR
200,17,4,AZ
287,11,4,CA
84,39,4,CO
435,2,1,CT
450,1,1,DC
210,15,1,DE
133.9,31,2,FL
37,49,2,GA
320,6,4,HI
136,30,3,IA
57,45,4,ID
298,10,3,IL
99.5,38,3,IN
129,33,3,KS
110,36,2,KY
108,37,2,LA
351,5,1,MA
200,17,1,MD
200,17,1,ME
200,17,3,MI
304,8,3,MN
17,51,3,MO
68,40,2,MS
170,25,4,MT
45,47,2,NC
44,48,3,ND
64,42,3,NE
178,24,1,NH
270,12,1,NJ
200,17,4,NM
180,23,4,NV
435,2,1,NY
160,27,3,OH
203,16,3,OK
133,32,4,OR
260,13,1,PA
425,4,1,RI
57,45,2,SC
153,28,3,SD
62,43,2,TN
141,29,2,TX
170,25,4,UT
30,50,2,VA
308,7,1,VT
302.5,9,4,WA
252,14,3,WI
120,34,2,WV
60,44,4,WY
,,,
