customer.id,outfit.id,rentalPeriod.start,rentalPeriod.end
3945,outfit.923f3fd476b5450b9582d1f525604546,5/25/2018,5/28/2018
4088,outfit.8c8e922e228ba03f,8/29/2019,9/2/2019
4360,outfit.96f152543e7668ae,8/10/2018,8/13/2018
4697,outfit.ddba05a5ced34fa1ab3a0722c05bb11a,6/14/2018,6/19/2018
3890,outfit.5ef01d4dc15243fb854ca797716fd663,8/24/2019,8/27/2019
4008,outfit.68667a7b797740f69dce409eeeadac24,12/28/2019,1/4/2020
5242,outfit.63bcf26d934447e1aa4d53214cef7d4f,2/2/2018,2/10/2018
876,outfit.938bce9de70bbb91,1/11/2019,3/11/2019
2971,outfit.d5a4b9683cd643f48dab6d109b0aa729,5/14/2019,5/19/2019
5312,outfit.bb0b2a2f58aa9f0b,6/7/2019,6/9/2019
2211,outfit.8d6a34817ba54992a71abef91d5486e8,4/3/2019,4/5/2019
2685,outfit.bab0a104dce39d2b,2/16/2019,2/19/2019
80,outfit.976628d5f0b34376a2c32d4e8c46e24b,1/27/2020,1/31/2020
7008,outfit.c6986820610c4ebe9502745daaf2a864,4/24/2019,4/29/2019
1551,outfit.8e974a4d61380fb2,11/24/2017,11/30/2017
6269,outfit.849ace7e1811150d,9/13/2019,9/16/2019
2443,outfit.c9b14d84b59b42c2b6cb3b560e1c1ef8,8/10/2018,8/13/2018
4146,outfit.7406df88036f4f16bfc1a4c03002d315,3/18/2019,3/21/2019
632,outfit.aad989fc0422b4eb,8/30/2019,9/2/2019
2915,outfit.b43f37d3542f42628d7fc43403f8dd49,8/9/2018,8/13/2018
2272,outfit.163433b4f8ed460bbd12eb913c4e9992,12/4/2019,12/9/2019
4885,outfit.db13e9deae904483bed85c8358f81a8e,8/3/2018,8/6/2018
482,outfit.7e53d60cec3c4d8bafc4b05ee815c0f5,8/24/2018,8/27/2018
2237,outfit.6d9f73680ceb4d59974c85e0c104af00,5/8/2018,5/28/2018
5021,outfit.86a8f7b22a1f4b4e9d6f42d22ea0127b,2/24/2018,3/13/2018
334,outfit.b68b720dbd521460,1/23/2020,1/25/2020
4543,outfit.7ee7542297f944ecb49f4fe5b44728f7,11/29/2019,12/2/2019
2730,outfit.8dd954d73c8d44ce,2/10/2018,2/19/2018
1334,outfit.ad848f726cd93e66,3/2/2018,3/5/2018
4787,outfit.60100019807c48a892195be2a047c618,6/28/2019,7/12/2019
2033,outfit.8e763e5d22200bfa,1/19/2018,1/22/2018
2514,outfit.8e2b0bea80a6f0c2,8/16/2019,8/19/2019
2794,outfit.a657836d8fac6ede,6/25/2018,7/2/2018
585,outfit.1309e941cace40c39f24d8de277140b1,10/21/2019,10/23/2019
2259,outfit.1515a54502e34532a658bb12f419c557,7/27/2018,7/30/2018
1540,outfit.bb35c791b2bfa191,5/31/2019,6/3/2019
1794,outfit.b6f4e6d64e3144d2b528b6bf75e5ddcd,8/29/2019,9/2/2019
2631,outfit.8fbf386b8fef8664,8/23/2019,8/26/2019
1428,outfit.5ae76cc39b2b4049bafb00a9203254ae,10/25/2018,10/29/2018
5242,outfit.98d6cf4fef49ec24,12/4/2017,12/6/2017
5482,outfit.87752ffbbe69477baaf2a2382738acb8,11/13/2019,11/18/2019
1954,outfit.ad6f853b5c31b6f5,6/19/2018,6/25/2018
3533,outfit.1fc4f4eb86854b52b71096e05d0efa6a,6/20/2019,7/21/2019
4072,outfit.d74a648486b04780b38eb60860b4b974,9/4/2018,9/10/2018
1520,outfit.2055788ae1cb401bb3e88f887d5bd028,8/2/2019,8/5/2019
3390,outfit.437a0496b4ea4192b3bde3bee012d6c7,11/6/2019,11/7/2019
4549,outfit.b9aeae0adbc6f62a,1/23/2018,2/23/2018
5919,outfit.57729471dc4a42fc8ebf94a2741b54ac,8/10/2018,8/13/2018
3585,outfit.c5253e4ebb054b14b20d3cc19f00b595,7/18/2019,7/22/2019
1909,outfit.a4699b3b33b4d99c,5/18/2018,6/30/2018
4344,outfit.a7073410dc0bd5e7,12/15/2017,1/15/2018
3228,outfit.23bf2c58e916407987746990096b204e,3/22/2019,3/25/2019
1039,outfit.b28a4882faf73d65,3/2/2019,3/3/2019
6674,outfit.e3c17b42a98943bb878e77b93485e940,1/29/2019,2/2/2019
5521,outfit.ab7c331ffe4c0c2f,2/25/2019,3/3/2019
3190,outfit.82156329d7b54a80bdfc008fe96461ec,9/21/2018,9/24/2018
7381,outfit.915272dd8393bc1d,5/7/2018,6/4/2018
5395,outfit.b831eeb87001146e,12/31/2018,1/2/2019
2459,outfit.17996f09f2a84c078a7b0bd718bcddd6,9/7/2018,9/10/2018
4738,outfit.9bb1d6f57be44f24,12/27/2019,12/30/2019
5810,outfit.be670e741ed74f9597a28f8bb3e5e537,11/28/2019,12/1/2019
2517,outfit.b4d1a29f30484471,12/31/2017,1/3/2018
5304,outfit.545e026417ac42da8cb78e8f1ddce007,11/20/2019,11/25/2019
7266,outfit.0fd1ffa75a364aba8427034859879e25,12/15/2017,12/31/2017
3931,outfit.9bb1d6f57be44f24,12/15/2017,12/18/2017
35,outfit.9d310a2a76ea075a,8/6/2018,8/16/2018
6374,outfit.129d52ba514a406c959c2ca3b67f696e,2/23/2018,2/26/2018
